Geography,Area (km2),Veg area (km2),pm25 mcg/m3,Veg density,city_B,city_NYC,city_S,cluster
Yeongdeungpo-gu,24.55,3.003,14.0,0.12232179226069247,0.0,0.0,1.0,1
Yongsan-gu,21.87,1.774,12.0,0.08111568358481938,0.0,0.0,1.0,1
Charlottenburg-Wilmersdorf,64.72,3.44,16.59,0.05315203955500618,1.0,0.0,0.0,3
Friedrichshain-Kreuzberg,20.16,2.02,16.63,0.1001984126984127,1.0,0.0,0.0,3
Lichtenberg,52.29,5.38,15.74,0.10288774144195831,1.0,0.0,0.0,3
Marzahn-Hellersdorf,61.74,7.04,15.89,0.11402656300615484,1.0,0.0,0.0,3
Mitte,39.47,5.28,15.63,0.13377248543197365,1.0,0.0,0.0,3
Neukelln,44.93,3.61,16.03,0.08034720676608056,1.0,0.0,0.0,3
Pankow,103.01,5.5,14.96,0.053392874478205996,1.0,0.0,0.0,3
Reinickendorf,89.46,4.84,15.25,0.054102392130561144,1.0,0.0,0.0,3
Spandau,91.91,6.09,15.51,0.06626047220106626,1.0,0.0,0.0,3
Steglitz-Zehlendorf,102.5,4.55,16.56,0.04439024390243902,1.0,0.0,0.0,3
Tempelhof-Schoeneberg,53.09,2.42,15.96,0.04558297231116971,1.0,0.0,0.0,3
Treptow-Kopenick,168.42,3.58,15.82,0.02125638285239283,1.0,0.0,0.0,3
